energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
30.77,0.02,0.00052,0.00007,,30.77,,0,M4,,,1.693E5,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
114.045,0.021,0.679,0.02,0.000000000014,1477.150,,1363.068,M1+(E2),0.11,LT,0.178,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
155.94,0.03,0.0136,0.0012,,1491.08,,1335.15,[M1 E2],,,0.15,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
263.049,0.013,57.4,1.1,24660,2424.895,0.000000000046,2161.846,E4,,,0.687,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
385.3,0.08,0.056,0.0023,,1335.15,,949.82,E2,,,0.01001,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
541.29,0.07,0.061,0.0016,,1491.08,,949.82,M1+E2,-0.104,17,0.00292,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
572.796,0.019,0.056,0.0023,,2752.93,,2180.14,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
684.693,0.021,99.9,0.8,0.000000000046,2161.846,0.000000000014,1477.150,E2,,,0.00196,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
689.053,0.019,0.04,0.0013,,2180.14,,1491.08,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
827,,0.00499416,0.00000012,,2304.1,0.000000000014,1477.150,(E1+M2),,,0.0018,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
844.96,0.06,0.015,0.001,,2180.14,,1335.15,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
947.8,,0.219743,0.000005,24660,2424.895,0.000000000014,1477.150,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
949.81,0.03,0.117,0.003,,949.82,,0,E2,,,0.000812,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
1261.91,0.14,0.033,0.0021,,2752.93,,1491.08,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
1363.016,0.022,0.809,0.02,,1363.068,,0.0,M1+E2,0.48,7,0.000449,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
1417.75,0.1,0.031,0.0021,,2752.93,,1335.15,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
1477.138,0.003,99.1,1.1,0.000000000014,1477.150,,0.0,E2,,,0.000411,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
2161.8,,0.0998832,0.0000024,0.000000000046,2161.846,,0.0,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
2.299,,6.063191031,0.6245195115610145,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
2.299,,0.00429,0.00019,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
2.44,,1.5,0.05,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
16.521,,21.11562309998751,3.151224881986843,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
16.521,,0.0216,0.0009,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
16.615,,0.0412,0.0018,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
16.615,,40.327775210060175,6.015301134687905,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
17.374,,6.62,0.17,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
17.479,,12.6,0.3,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.694,,0.0107,0.0005,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.694,,10.43469190430636,1.5593532357506383,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.795,,11.999895689952313,1.7924970863805805,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.795,,0.0123,0.0005,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.951,,1.565203785645954,0.23965115572427267,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.951,,0.0016,0.00009,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
19.681,,3.31,0.09,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
19.794,,3.82,0.1,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
19.963,,0.51,0.021,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12

